job_id,company,role,source,fit_score,discipline_flag,status,date_found,apply_link
bfba314aa6c8,Divya Sheth Design Studio,Interior Designer,manual,8,,packet-ready,2026-07-07,https://www.youngdesignersindia.com/Jobs
61ac7052eb1c,BrowserStack,Manager - Product Design,weworkremotely,7,stretch (senior/3+ yr),packet-ready,2026-07-07,https://weworkremotely.com/remote-jobs/browserstack-manager-product-design
76e22805cc21,Home Depot,"Design Consultant - Exteriors, Louisville, KY",weworkremotely,7,location unclear,packet-ready,2026-07-07,https://weworkremotely.com/remote-jobs/home-depot-design-consultant-exteriors-louisville-ky
59c839beaa28,Mosaic Wellness,Product Designer II,manual,7,,packet-ready,2026-07-07,https://www.youngdesignersindia.com/Jobs
ec8704372885,Hospitable,Staff UI/UX Product Designer (USA/EMEA - Remote),weworkremotely,6,stretch (senior/3+ yr); remote — confirm India-eligible,packet-ready,2026-07-07,https://weworkremotely.com/remote-jobs/hospitable-staff-ui-ux-product-designer-usa-emea-remote-1
1a5d95ffd332,EY,Service Design Consultant,weworkremotely,6,stretch (senior/3+ yr),packet-ready,2026-07-07,https://weworkremotely.com/remote-jobs/ey-service-design-consultant
af2cbb43b8c7,Aadiraj,Interior Designer,manual,6,,packet-ready,2026-07-07,https://www.youngdesignersindia.com/Jobs
b53c6826e3c0,GM,Producer - Human Interface Design,weworkremotely,5,stretch (senior/3+ yr); remote — confirm India-eligible,packet-ready,2026-07-07,https://weworkremotely.com/remote-jobs/gm-producer-human-interface-design
f56f76eeabf4,Verdantas,Substation Design Lead,weworkremotely,4,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); location unclear,found,2026-07-07,https://weworkremotely.com/remote-jobs/verdantas-substation-design-lead
9ba320a55614,GE Vernova,Senior Design Engineer,weworkremotely,4,location unclear,found,2026-07-07,https://weworkremotely.com/remote-jobs/ge-vernova-senior-design-engineer
6b1fd9c81f71,GM,Design Release Engineer – Semiconductor,weworkremotely,4,stretch (senior/3+ yr); location unclear,found,2026-07-07,https://weworkremotely.com/remote-jobs/gm-design-release-engineer-semiconductor
